"direccion";"latitud";"longitud"
"Calle 10 No 6 - 25";3,93101;-76,48361
"Carrera 10 No  9-30";3,65789;-76,69459
"PALACIO MUNICIPAL LA FLORIDA";1,51628;-77,04528
"Calle 9 No 2 - 47 ALCALDIA MUNICIPAL";3,00633;-76,48233
"VDA PEÑASORA KM5 VIA MOCOA";0,50317;-76,49946
"KM 6 VIA PITALITO VDA ALTO AFAN";1,15124;-76,64862
"Carrera 3RA Calle 4TA ESQUINA - PALACIO MUNICIPAL";1,33714;-77,59242
"KM 7 VIA SANTO DOMINGO";7,47866;-73,92161
"Calle 3 No 2-31";7,86407;-72,71754
"Carrera 13 NO: 8-106";3,76872;-76,33828
"Carrera 6 N. 12-27 PLAZA BOLIVAR";4,45378;-75,79056
"BARRIO LA MILAGROSA";5,61015;-75,17626
"Calle 9 NO 15 - 21";5,06084;-75,87217
"SALIDA A PUERTO BERRIO KM 1";6,53857;-75,08755
"Carrera 9 No  11 - 78";7,00369;-76,26651
"VIA A YOPAL A 500 MTS CASCO URBANO";5,88066;-71,89285
"ESTACION DEL FERROCRIL";9,36196;-73,60232
"KM 2 VDA PEÑA VIVA, VIA RAMAL ACCESO BOCHALEMA";7,61094;-72,64755
"KM 1 VIA EL ZULIA - ASTILLEROS";7,93819;-72,60507
"Carrera 7 ENTRE CLS 10 Y 11  BARRIO  LA  PESA";8,08451;-72,79855
"COSTADO NOROCCIDENTAL AL LADO DE LA QUEBRADA EL PLAYON";8,21403;-73,2379
"Calle 12 CON Carrera 15";1,19941;-76,91876
"VDA EL BOSQUE, TELEFONO: 3132072678";6,53195;-73,17266
"Carrera 6 NO 4-35 CENTRO";6,75552;-73,10329
"Carrera 6 NO 6 - 41";4,67506;-75,65832
"ANTIGUA VIA SAN CRLOS KM 1,1 VDA EL PALMITO";8,87167;-75,619
